Slot_ID,Rel_Time_s,Azimuth,Elevation,Range_km,Doppler_kHz
P1_35745,35745.0,14.21,10.44,2165.74,49.144
P1_35750,35750.0,14.28,10.91,2132.28,49.067
P1_35755,35755.0,14.34,11.39,2098.88,48.984
P1_35760,35760.0,14.41,11.89,2065.53,48.897
P1_35765,35765.0,14.47,12.39,2032.25,48.803
P1_35770,35770.0,14.54,12.91,1999.03,48.703
P1_35775,35775.0,14.61,13.44,1965.88,48.597
P1_35780,35780.0,14.69,13.98,1932.81,48.484
P1_35785,35785.0,14.76,14.53,1899.82,48.363
P1_35790,35790.0,14.84,15.1,1866.91,48.234
P1_35795,35795.0,14.92,15.69,1834.09,48.097
P1_35800,35800.0,15.01,16.29,1801.37,47.951
P1_35805,35805.0,15.1,16.9,1768.75,47.795
P1_35810,35810.0,15.19,17.54,1736.24,47.629
P1_35815,35815.0,15.28,18.19,1703.85,47.452
P1_35820,35820.0,15.38,18.86,1671.58,47.263
P1_35825,35825.0,15.48,19.55,1639.45,47.061
P1_35830,35830.0,15.59,20.27,1607.45,46.846
P1_35835,35835.0,15.7,21.0,1575.61,46.616
P1_35840,35840.0,15.82,21.76,1543.94,46.37
P1_35845,35845.0,15.94,22.55,1512.43,46.107
P1_35850,35850.0,16.07,23.36,1481.11,45.826
P1_35855,35855.0,16.2,24.2,1449.99,45.525
P1_35860,35860.0,16.34,25.07,1419.08,45.203
P1_35865,35865.0,16.49,25.97,1388.4,44.857
P1_35870,35870.0,16.65,26.9,1357.96,44.487
P1_35875,35875.0,16.81,27.87,1327.78,44.089
P1_35880,35880.0,16.99,28.88,1297.88,43.663
P1_35885,35885.0,17.18,29.93,1268.29,43.204
P1_35890,35890.0,17.38,31.02,1239.02,42.712
P1_35895,35895.0,17.59,32.16,1210.09,42.181
P1_35900,35900.0,17.82,33.34,1181.55,41.611
P1_35905,35905.0,18.07,34.57,1153.4,40.996
P1_35910,35910.0,18.34,35.86,1125.69,40.334
P1_35915,35915.0,18.62,37.2,1098.45,39.621
P1_35920,35920.0,18.94,38.6,1071.71,38.851
P1_35925,35925.0,19.28,40.06,1045.52,38.021
P1_35930,35930.0,19.65,41.59,1019.92,37.126
P1_35935,35935.0,20.06,43.19,994.95,36.16
P1_35940,35940.0,20.52,44.86,970.66,35.119
P1_35945,35945.0,21.02,46.6,947.11,33.997
P1_35950,35950.0,21.59,48.42,924.35,32.789
P1_35955,35955.0,22.22,50.32,902.45,31.488
P1_35960,35960.0,22.95,52.3,881.46,30.091
P1_35965,35965.0,23.78,54.36,861.47,28.591
P1_35970,35970.0,24.74,56.51,842.53,26.985
P1_35975,35975.0,25.86,58.73,824.72,25.27
P1_35980,35980.0,27.19,61.03,808.12,23.444
P1_35985,35985.0,28.8,63.4,792.8,21.505
