burst_id,start_s,end_s,duration_s,dominant_freq_offset_hz,peak_db
0,0.100864,0.100864,0.000512,10742.2,-82.008
1,0.212992,0.212992,0.000512,10742.2,-81.895
2,0.229376,0.236544,0.007168,-317382.8,-77.531
3,0.237568,0.239616,0.002048,-317382.8,-79.250
4,0.240640,0.240640,0.000512,-317382.8,-78.994
5,0.242176,0.246784,0.004608,-317382.8,-78.522
6,0.247808,0.251392,0.003584,-317382.8,-79.387
7,0.252416,0.257536,0.005120,-317382.8,-77.887
8,0.258560,0.275456,0.016896,-317382.8,-78.069
9,0.276480,0.280576,0.004096,-317382.8,-78.856
10,0.281600,0.292352,0.010752,-317382.8,-78.277
11,0.293376,0.294400,0.001024,-317382.8,-79.102
12,0.295936,0.310272,0.014336,-317382.8,-77.331
13,0.311296,0.317440,0.006144,-317382.8,-77.543
14,0.318976,0.324096,0.005120,-317382.8,-78.817
15,0.325120,0.327680,0.002560,-317382.8,-77.720
16,0.328704,0.328704,0.000512,-317382.8,-79.829
17,0.329728,0.330240,0.000512,-7812.5,-80.748
18,0.433664,0.445440,0.011776,215820.3,-76.913
19,0.446464,0.450048,0.003584,215820.3,-78.241
20,0.451072,0.452096,0.001024,215820.3,-79.099
21,0.453120,0.453632,0.000512,215820.3,-79.695
22,0.454656,0.474624,0.019968,215820.3,-77.822
23,0.475648,0.483328,0.007680,215820.3,-78.356
24,0.484352,0.489472,0.005120,215820.3,-77.585
25,0.490496,0.492032,0.001536,215820.3,-78.983
26,0.579072,0.579072,0.000512,11718.8,-81.128
27,0.589824,0.589824,0.000512,-6835.9,-81.078
28,1.058816,1.058816,0.000512,-5859.4,-79.721
29,1.187328,1.187328,0.000512,-7812.5,-81.902
30,1.226240,1.226240,0.000512,6835.9,-81.887
31,1.508352,1.508352,0.000512,5859.4,-81.452
32,1.525760,1.525760,0.000512,6835.9,-80.436
33,1.737216,1.737216,0.000512,-6835.9,-81.553
34,1.739776,1.739776,0.000512,5859.4,-81.681
35,1.838592,1.838592,0.000512,-6835.9,-81.432
36,1.982976,1.992192,0.009216,139648.4,-77.866
37,1.993216,1.998336,0.005120,139648.4,-77.325
38,1.999360,2.006528,0.007168,139648.4,-77.345
39,2.007552,2.010112,0.002560,139648.4,-77.258
40,2.011136,2.013696,0.002560,139648.4,-78.557
41,2.015232,2.015744,0.000512,139648.4,-80.496
42,2.016768,2.037760,0.020992,139648.4,-76.786
43,2.038784,2.045440,0.006656,139648.4,-78.016
44,2.046464,2.046464,0.000512,139648.4,-79.023
45,2.047488,2.051072,0.003584,139648.4,-78.584
46,2.052096,2.059264,0.007168,139648.4,-77.966
47,2.060288,2.070528,0.010240,139648.4,-78.082
48,2.071552,2.072576,0.001024,139648.4,-79.037
49,2.073600,2.083840,0.010240,139648.4,-78.331
50,2.090496,2.090496,0.000512,-469726.6,-81.339
51,2.093056,2.093568,0.000512,-469726.6,-81.408
52,2.094592,2.094592,0.000512,-469726.6,-79.931
53,2.097664,2.097664,0.000512,-469726.6,-79.845
54,2.100224,2.100224,0.000512,-469726.6,-81.898
55,2.101248,2.101248,0.000512,-470703.1,-81.846
56,2.102784,2.102784,0.000512,-469726.6,-81.098
57,2.103808,2.103808,0.000512,-469726.6,-80.958
58,2.105344,2.105344,0.000512,-469726.6,-81.182
59,2.106880,2.106880,0.000512,-469726.6,-81.411
60,2.111488,2.112000,0.000512,-469726.6,-79.925
61,2.113024,2.113536,0.000512,-469726.6,-80.570
62,2.115584,2.116096,0.000512,-469726.6,-81.367
63,2.117632,2.118144,0.000512,-469726.6,-81.147
64,2.120192,2.120192,0.000512,-469726.6,-81.545
65,2.121216,2.122240,0.001024,-469726.6,-81.241
66,2.124288,2.124800,0.000512,-469726.6,-79.952
67,2.127360,2.127360,0.000512,-469726.6,-80.548
68,2.128384,2.129408,0.001024,-469726.6,-80.404
69,2.130432,2.130432,0.000512,-469726.6,-80.746
70,2.131456,2.132480,0.001024,-469726.6,-80.372
71,2.133504,2.134528,0.001024,-469726.6,-79.434
72,2.136576,2.138112,0.001536,-469726.6,-80.328
73,2.143232,2.143744,0.000512,-469726.6,-81.551
74,2.144768,2.147328,0.002560,-469726.6,-80.498
75,2.148864,2.150912,0.002048,-469726.6,-79.812
76,2.151936,2.153984,0.002048,-469726.6,-80.360
77,2.155008,2.155008,0.000512,-469726.6,-81.704
78,2.156544,2.157056,0.000512,-469726.6,-79.925
79,2.158080,2.160128,0.002048,-469726.6,-80.738
80,2.162176,2.162176,0.000512,-469726.6,-81.356
81,2.166784,2.166784,0.000512,-469726.6,-80.982
82,2.170368,2.170368,0.000512,-469726.6,-81.381
83,2.172928,2.172928,0.000512,-469726.6,-81.611
84,2.174976,2.176000,0.001024,-469726.6,-80.398
85,2.179072,2.179584,0.000512,-469726.6,-80.326
86,2.181120,2.181120,0.000512,-469726.6,-81.430
87,2.182144,2.183168,0.001024,-469726.6,-81.199
88,2.184192,2.184192,0.000512,-469726.6,-80.308
89,2.187776,2.198016,0.010240,-139648.4,-78.493
90,2.199040,2.200576,0.001536,-139648.4,-77.817
91,2.201600,2.201600,0.000512,-139648.4,-79.843
92,2.202624,2.225152,0.022528,-139648.4,-77.451
93,2.227200,2.228224,0.001024,-139648.4,-80.282
94,2.229248,2.231296,0.002048,-139648.4,-78.906
95,2.232320,2.240000,0.007680,-139648.4,-77.405
96,2.241024,2.242048,0.001024,-139648.4,-79.170
97,2.243072,2.259968,0.016896,-139648.4,-77.269
98,2.260992,2.264064,0.003072,-139648.4,-78.137
99,2.368512,2.368512,0.000512,7812.5,-81.647
100,2.529792,2.529792,0.000512,5859.4,-81.153
