freq_offset_hz,maxhold_db
-500000.0,-87.837
-499023.4,-86.869
-498046.9,-88.644
-497070.3,-88.731
-496093.8,-88.913
-495117.2,-88.744
-494140.6,-87.557
-493164.1,-88.262
-492187.5,-88.215
-491210.9,-87.989
-490234.4,-87.841
-489257.8,-87.671
-488281.2,-88.772
-487304.7,-87.300
-486328.1,-86.907
-485351.6,-87.668
-484375.0,-88.498
-483398.4,-87.321
-482421.9,-86.941
-481445.3,-87.296
-480468.8,-87.716
-479492.2,-87.631
-478515.6,-88.018
-477539.1,-86.753
-476562.5,-87.426
-475585.9,-88.065
-474609.4,-87.052
-473632.8,-86.971
-472656.2,-87.030
-471679.7,-86.378
-470703.1,-80.396
-469726.6,-79.434
-468750.0,-84.410
-467773.4,-85.948
-466796.9,-85.961
-465820.3,-86.278
-464843.8,-86.607
-463867.2,-87.143
-462890.6,-86.334
-461914.1,-87.264
-460937.5,-86.600
-459960.9,-84.406
-458984.4,-86.352
-458007.8,-84.866
-457031.2,-86.437
-456054.7,-86.032
-455078.1,-85.590
-454101.6,-86.596
-453125.0,-86.430
-452148.4,-85.537
-451171.9,-85.622
-450195.3,-84.595
-449218.8,-85.160
-448242.2,-85.719
-447265.6,-85.429
-446289.1,-85.612
-445312.5,-85.773
-444335.9,-85.735
-443359.4,-85.412
-442382.8,-84.765
-441406.2,-85.518
-440429.7,-85.185
-439453.1,-86.148
-438476.6,-85.911
-437500.0,-84.747
-436523.4,-85.068
-435546.9,-85.101
-434570.3,-84.041
-433593.8,-85.513
-432617.2,-83.129
-431640.6,-84.758
-430664.1,-84.975
-429687.5,-85.999
-428710.9,-84.897
-427734.4,-85.283
-426757.8,-85.107
-425781.2,-85.185
-424804.7,-85.585
-423828.1,-84.815
-422851.6,-84.868
-421875.0,-84.606
-420898.4,-85.486
-419921.9,-85.222
-418945.3,-84.659
-417968.8,-84.692
-416992.2,-84.789
-416015.6,-84.628
-415039.1,-84.963
-414062.5,-85.394
-413085.9,-84.905
-412109.4,-84.671
-411132.8,-84.918
-410156.2,-84.787
-409179.7,-85.714
-408203.1,-85.438
-407226.6,-85.203
-406250.0,-85.316
-405273.4,-85.833
-404296.9,-84.906
-403320.3,-84.959
