burst_index,t_start_s,target_grid_hz,p_target,p_adjacent,ablr,ablr_db,snr_db
0,1.7574,253910.0,1.2923576831817627,0.0012604494695551693,0.000975,-30.109,35.88
1,2.5654,330083.0,1.2209656238555908,0.00093035664758645,0.000762,-31.181,35.65
2,3.2906,279301.0,1.2827928066253662,0.0009414836822543293,0.000734,-31.343,36.53
3,4.0983,355474.0,1.2142122983932495,0.0009435362881049514,0.000777,-31.095,36.29
4,4.9254,279301.0,1.290371298789978,0.000863043445860967,0.000669,-31.747,36.45
5,5.7331,355474.0,1.2251735925674438,0.000736945599783212,0.000602,-32.208,36.23
6,6.9266,279301.0,1.3085911273956299,0.0008663449843879789,0.000662,-31.791,36.24
7,7.7343,355474.0,1.2335426807403564,0.0007199680549092591,0.000584,-32.338,35.99
8,8.9257,50782.0,1.2618402242660522,0.0007175198115874082,0.000569,-32.452,36.44
9,9.7336,355474.0,1.2163652181625366,0.0007186640286818147,0.000591,-32.285,36.12
10,9.964,-203128.0,2.226536750793457,0.0005513815849553794,0.000248,-36.062,7.38
11,9.9896,-203128.0,2.2191667556762695,0.0005233025003690273,0.000236,-36.274,7.41
12,10.0357,-203128.0,2.060882568359375,0.0008870325691532344,0.00043,-33.661,12.57
13,10.9251,50782.0,1.2645657062530518,0.000732442713342607,0.000579,-32.372,36.48
14,11.7327,355474.0,0.8165798783302307,0.0007135857886169106,0.000874,-30.586,34.17
15,12.9262,50782.0,1.2570672035217285,0.0007174859929364175,0.000571,-32.435,36.43
16,13.7339,355474.0,1.2120707035064697,0.0007264384476002306,0.000599,-32.223,36.09
17,13.9523,-203128.0,2.218003273010254,0.0005595692491624504,0.000252,-35.981,7.46
18,13.9645,-203128.0,2.2190115451812744,0.000561384076718241,0.000253,-35.969,7.44
19,14.036,-203128.0,2.10679292678833,0.0008164148894138634,0.000388,-34.117,12.43
20,14.9222,279301.0,1.3057607412338257,0.000860246189404279,0.000659,-31.812,36.28
21,15.7302,355474.0,1.2246544361114502,0.0007198661915026605,0.000588,-32.308,36.0
22,16.9265,279301.0,1.308178424835205,0.0008617276325821877,0.000659,-31.813,36.55
23,17.7341,355474.0,1.2277051210403442,0.0007371685351245105,0.0006,-32.215,36.27
24,18.9235,279301.0,1.3090004920959473,0.0009349796746391803,0.000714,-31.461,36.63
25,19.7315,355474.0,1.2316396236419678,0.000957138545345515,0.000777,-31.095,36.36
