burst_index,t_start_s,t_end_s,peak_offset_hz,nearest_grid_hz,residual_cfo_hz,abs_residual_cfo_hz,snr_db,commanded_offset_hz,realization_error_hz
0,1.7574,2.23,263837.492,253910.0,9927.492,9927.492,35.88,0.0,263837.492
1,2.5654,2.7707,340004.212,330083.0,9921.212,9921.212,35.65,5562.306,334441.906
2,3.2906,3.7632,269384.282,279301.0,-9916.718,9916.718,36.53,10580.135,258804.147
3,4.0983,4.3039,345551.769,355474.0,-9922.231,9922.231,36.29,14562.306,330989.463
4,4.9254,5.398,274372.507,279301.0,-4928.493,4928.493,36.45,17119.017,257253.49
5,5.7331,5.9387,350540.472,355474.0,-4933.528,4933.528,36.23,18000.0,332540.472
6,6.9266,7.3989,278401.048,279301.0,-899.952,899.952,36.24,17119.017,261282.031
7,7.7343,7.9398,354569.577,355474.0,-904.423,904.423,35.99,14562.306,340007.271
8,8.9257,9.3983,52623.058,50782.0,1841.058,1841.058,36.44,10580.135,42042.923
9,9.7336,9.9415,357035.826,355474.0,1561.826,1561.826,36.12,5562.306,351473.52
10,9.964,9.9725,-198982.38,-203128.0,4145.62,4145.62,7.38,,
11,9.9896,9.9948,-198975.675,-203128.0,4152.325,4152.325,7.41,,
12,10.0357,10.0413,-198955.513,-203128.0,4172.487,4172.487,12.57,,
13,10.9251,11.3974,53506.368,50782.0,2724.368,2724.368,36.48,,
14,11.7327,12.0404,357923.051,355474.0,2449.051,2449.051,34.17,,
15,12.9262,13.3985,52613.451,50782.0,1831.451,1831.451,36.43,,
16,13.7339,13.942,357027.278,355474.0,1553.278,1553.278,36.09,,
17,13.9523,13.9571,-198980.706,-203128.0,4147.294,4147.294,7.46,,
18,13.9645,13.9727,-198977.797,-203128.0,4150.203,4150.203,7.44,,
19,14.036,14.0416,-198951.296,-203128.0,4176.704,4176.704,12.43,,
20,14.9222,15.3948,278382.257,279301.0,-918.743,918.743,36.28,,
21,15.7302,15.9355,354552.882,355474.0,-921.118,921.118,36.0,,
22,16.9265,17.3988,274343.021,279301.0,-4957.979,4957.979,36.55,,
23,17.7341,17.9395,350513.019,355474.0,-4960.981,4960.981,36.27,,
24,18.9235,19.3961,269341.941,279301.0,-9959.059,9959.059,36.63,,
25,19.7315,19.9368,345512.223,355474.0,-9961.777,9961.777,36.36,,
