burst_index,t_start_s,target_grid_hz,p_target,p_adjacent,ablr,ablr_db,snr_db
0,1.4121,253910.0,1.254951000213623,0.001244797429535538,0.000992,-30.035,35.91
1,2.2198,330083.0,1.1855560541152954,0.0009087082289624959,0.000766,-31.155,35.67
2,2.945,253910.0,1.2477091550827026,0.0012259798822924495,0.000983,-30.076,36.12
3,3.753,330083.0,1.1719419956207275,0.0008796474139671773,0.000751,-31.246,35.86
4,4.8691,253910.0,1.2497917413711548,0.0012658467167057097,0.001013,-29.945,35.72
5,5.6771,330083.0,1.1744195222854614,0.0009135314030572772,0.000778,-31.091,35.45
6,6.8708,253910.0,1.2497433423995972,0.0012154838186688721,0.000973,-30.121,36.31
7,7.6787,330083.0,1.1750274896621704,0.0008789415296632797,0.000748,-31.261,36.04
8,8.8707,25391.0,1.1950654983520508,0.0008264896459877491,0.000692,-31.602,35.74
9,9.6783,330083.0,1.175532579421997,0.0009090909152291715,0.000773,-31.116,35.2
10,10.8705,253910.0,1.2451468706130981,0.0012083832989446819,0.00097,-30.13,36.31
11,11.6782,330083.0,1.1663146018981934,0.0008667395741213113,0.000743,-31.289,36.02
12,12.8696,25391.0,1.206961750984192,0.0008232346444856375,0.000682,-31.662,35.76
13,13.6773,330083.0,1.186549425125122,0.0009227720438502729,0.000778,-31.092,35.27
14,14.8705,253910.0,1.258692979812622,0.001204999047331512,0.000957,-30.189,36.36
15,15.6782,330083.0,1.1880306005477905,0.0008587697229813784,0.000723,-31.41,36.11
16,16.8704,253910.0,1.2608706951141357,0.0012672121520154178,0.001005,-29.978,35.83
17,17.6781,330083.0,1.1864891052246094,0.0009066194761544466,0.000764,-31.168,35.56
18,18.8703,253910.0,1.259133219718933,0.0012188819237053394,0.000968,-30.141,36.23
19,19.678,330083.0,1.1867567300796509,0.0008874602790456265,0.000748,-31.262,35.98
