burst_index,t_start_s,t_end_s,peak_offset_hz,nearest_grid_hz,residual_cfo_hz,abs_residual_cfo_hz,snr_db,commanded_offset_hz,realization_error_hz
0,1.4121,1.8844,263806.753,253910.0,9896.753,9896.753,35.91,0.0,263806.753
1,2.2198,2.4251,339973.622,330083.0,9890.622,9890.622,35.67,-37.082,340010.704
2,2.945,3.4176,263731.269,253910.0,9821.269,9821.269,36.12,70.534,263660.735
3,3.753,3.9583,339899.113,330083.0,9816.113,9816.113,35.86,-97.082,339996.195
4,4.8691,5.3417,263849.675,253910.0,9939.675,9939.675,35.72,114.127,263735.548
5,5.6771,5.8824,340018.778,330083.0,9935.778,9935.778,35.45,-120.0,340138.778
6,6.8708,7.3434,263650.191,253910.0,9740.191,9740.191,36.31,114.127,263536.064
7,7.6787,7.884,339819.69,330083.0,9736.69,9736.69,36.04,-97.082,339916.772
8,8.8707,9.343,35619.45,25391.0,10228.45,10228.45,35.74,70.534,35548.916
9,9.6783,9.8836,340071.668,330083.0,9988.668,9988.668,35.2,-37.082,340108.75
10,10.8705,11.3431,263642.804,253910.0,9732.804,9732.804,36.31,,
11,11.6782,11.8838,339812.576,330083.0,9729.576,9729.576,36.02,,
12,12.8696,13.342,35613.907,25391.0,10222.907,10222.907,35.76,,
13,13.6773,13.8829,340066.776,330083.0,9983.776,9983.776,35.27,,
14,14.8705,15.3428,263639.031,253910.0,9729.031,9729.031,36.36,,
15,15.6782,15.8835,339809.554,330083.0,9726.554,9726.554,36.11,,
16,16.8704,17.343,263832.251,253910.0,9922.251,9922.251,35.83,,
17,17.6781,17.8836,340003.192,330083.0,9920.192,9920.192,35.56,,
18,18.8703,19.3426,263703.083,253910.0,9793.083,9793.083,36.23,,
19,19.678,19.8833,339873.654,330083.0,9790.654,9790.654,35.98,,
