burst_index,t_rel_s,sent_utc,commanded_rf_freq_hz,commanded_offset_hz,tx_power_dbm,ack,packet_sent
0,0.0,2026-06-11T07:22:32Z,868000000,0.0,10,BURST_DONE 0 868000000 10,True
1,2.0,2026-06-11T07:22:34Z,867999963,-37.082,10,BURST_DONE 1 867999963 10,True
2,4.0,2026-06-11T07:22:36Z,868000071,70.534,10,BURST_DONE 2 868000071 10,True
3,6.0,2026-06-11T07:22:38Z,867999903,-97.082,10,BURST_DONE 3 867999903 10,True
4,8.0,2026-06-11T07:22:40Z,868000114,114.127,10,BURST_DONE 4 868000114 10,True
5,10.0,2026-06-11T07:22:42Z,867999880,-120.0,10,BURST_DONE 5 867999880 10,True
6,12.0,2026-06-11T07:22:44Z,868000114,114.127,10,BURST_DONE 6 868000114 10,True
7,14.0,2026-06-11T07:22:46Z,867999903,-97.082,10,BURST_DONE 7 867999903 10,True
8,16.0,2026-06-11T07:22:48Z,868000071,70.534,10,BURST_DONE 8 868000071 10,True
9,18.0,2026-06-11T07:22:50Z,867999963,-37.082,10,BURST_DONE 9 867999963 10,True
