burst_index,t_start_s,target_grid_hz,p_target,p_adjacent,ablr,ablr_db,snr_db
0,1.204,253910.0,1.2595617771148682,0.0012809830368496478,0.001017,-29.927,35.83
1,2.0119,330083.0,1.1971609592437744,0.0009155300504062325,0.000765,-31.165,35.63
2,2.8401,253910.0,1.2584943771362305,0.0013224714202806354,0.001051,-29.785,36.47
3,3.6477,330083.0,1.173501968383789,0.000965399231063202,0.000823,-30.848,36.17
4,4.8443,25391.0,1.1858093738555908,0.0007416433363687247,0.000625,-32.038,35.85
5,5.652,330083.0,1.1661537885665894,0.0008291869016829878,0.000711,-31.481,34.94
6,6.8444,25391.0,1.1818163394927979,0.0007928195118438452,0.000671,-31.734,36.17
7,7.6521,330083.0,1.158827543258667,0.0009355653310194612,0.000807,-30.929,35.43
8,8.8407,253910.0,1.2325643301010132,0.0012874678359366953,0.001045,-29.811,36.35
9,9.6486,330083.0,1.1601910591125488,0.0009292667382396758,0.000801,-30.964,36.08
10,10.8408,25391.0,1.1790814399719238,0.0007537136843893677,0.000639,-31.943,35.55
11,11.6488,330083.0,1.1594092845916748,0.0008391817973461002,0.000724,-31.404,35.29
12,12.8438,253910.0,1.233371615409851,0.001266789622604847,0.001027,-29.884,36.34
13,13.6517,330083.0,1.1596500873565674,0.0009250313451047987,0.000798,-30.982,36.07
14,14.8436,25391.0,1.1803585290908813,0.0007905873353593051,0.00067,-31.741,36.15
15,15.6516,330083.0,1.1640653610229492,0.0009384193981532007,0.000806,-30.936,35.39
16,16.8438,25391.0,1.1817314624786377,0.0007589576707687229,0.000642,-31.923,35.75
17,17.6515,330083.0,1.163986086845398,0.000844599271658808,0.000726,-31.393,35.06
18,18.839,253910.0,1.235343337059021,0.0013001119950786233,0.001052,-29.778,36.41
19,19.6467,330083.0,1.161380648612976,0.0009408379264641553,0.00081,-30.915,36.14
