burst_index,t_start_s,t_end_s,peak_offset_hz,nearest_grid_hz,residual_cfo_hz,abs_residual_cfo_hz,snr_db,commanded_offset_hz,realization_error_hz
0,1.204,1.6765,263828.714,253910.0,9918.714,9918.714,35.83,0.0,263828.714
1,2.0119,2.2172,339995.983,330083.0,9912.983,9912.983,35.63,728.115,339267.868
2,2.8401,3.3126,264512.625,253910.0,10602.625,10602.625,36.47,-855.951,265368.576
3,3.6477,3.8533,340680.539,330083.0,10597.539,10597.539,36.17,278.115,340402.424
4,4.8443,5.3166,34687.985,25391.0,9296.985,9296.985,35.85,529.007,34158.978
5,5.652,5.8573,339134.185,330083.0,9051.185,9051.185,34.94,-900.0,340034.185
6,6.8444,7.317,35840.396,25391.0,10449.396,10449.396,36.17,529.007,35311.389
7,7.6521,7.8577,340264.02,330083.0,10181.02,10181.02,35.43,278.115,339985.905
8,8.8407,9.3133,264351.396,253910.0,10441.396,10441.396,36.35,-855.951,265207.347
9,9.6486,9.854,340521.19,330083.0,10438.19,10438.19,36.08,728.115,339793.075
10,10.8408,11.3134,34610.729,25391.0,9219.729,9219.729,35.55,,
11,11.6488,11.8541,339064.572,330083.0,8981.572,8981.572,35.29,,
12,12.8438,13.3164,264344.399,253910.0,10434.399,10434.399,36.34,,
13,13.6517,13.857,340514.547,330083.0,10431.547,10431.547,36.07,,
14,14.8436,15.3162,35825.303,25391.0,10434.303,10434.303,36.15,,
15,15.6516,15.8569,340250.318,330083.0,10167.318,10167.318,35.39,,
16,16.8438,17.3161,34662.639,25391.0,9271.639,9271.639,35.75,,
17,17.6515,17.8568,339113.187,330083.0,9030.187,9030.187,35.06,,
18,18.839,19.3116,264472.126,253910.0,10562.126,10562.126,36.41,,
19,19.6467,19.8523,340642.707,330083.0,10559.707,10559.707,36.14,,
