burst_index,t_rel_s,sent_utc,commanded_rf_freq_hz,commanded_offset_hz,tx_power_dbm,ack,packet_sent
0,0.0,2026-06-11T07:21:59Z,868000000,0.0,10,BURST_DONE 0 868000000 10,True
1,2.0,2026-06-11T07:22:01Z,868000728,728.115,10,BURST_DONE 1 868000728 10,True
2,4.0,2026-06-11T07:22:03Z,867999144,-855.951,10,BURST_DONE 2 867999144 10,True
3,6.0,2026-06-11T07:22:05Z,868000278,278.115,10,BURST_DONE 3 868000278 10,True
4,8.0,2026-06-11T07:22:07Z,868000529,529.007,10,BURST_DONE 4 868000529 10,True
5,10.0,2026-06-11T07:22:09Z,867999100,-900.0,10,BURST_DONE 5 867999100 10,True
6,12.0,2026-06-11T07:22:11Z,868000529,529.007,10,BURST_DONE 6 868000529 10,True
7,14.0,2026-06-11T07:22:13Z,868000278,278.115,10,BURST_DONE 7 868000278 10,True
8,16.0,2026-06-11T07:22:15Z,867999144,-855.951,10,BURST_DONE 8 867999144 10,True
9,18.0,2026-06-11T07:22:17Z,868000728,728.115,10,BURST_DONE 9 868000728 10,True
