burst_index,t_start_s,measured_offset_from_f0_hz,commanded_offset_hz,residual_to_grid_hz,realization_error_hz
0,2.0032,-2734.95,0.0,15.39,15.39
1,2.9448,2828.79,5562.31,5579.13,16.82
2,4.9485,7819.37,10580.14,10569.71,-10.43
3,6.9481,11849.59,14562.31,14599.93,37.63
4,8.9485,14345.36,17119.02,17095.7,-23.32
5,10.9473,15239.91,18000.0,17990.25,-9.75
6,12.9449,14344.41,17119.02,17094.75,-24.27
7,14.9486,11845.78,14562.31,14596.12,33.81
8,16.9492,7812.69,10580.14,10563.03,-17.1
9,18.944,2820.21,5562.31,5570.55,8.24
