burst_index,t_start_s,measured_offset_from_f0_hz,commanded_offset_hz,residual_to_grid_hz,realization_error_hz
0,1.5997,-2751.16,0.0,-0.82,-0.82
1,2.8585,-2818.87,-37.08,-68.53,-31.45
2,4.8581,-2692.99,70.53,57.35,-13.18
3,6.8539,-2887.54,-97.08,-137.19,-40.11
4,8.8566,-2631.95,114.13,118.39,4.26
5,10.8572,-2891.35,-120.0,-141.01,-21.01
6,12.8558,-2634.81,114.13,115.53,1.4
7,14.8572,-2893.26,-97.08,-142.92,-45.83
8,16.8589,-2702.52,70.53,47.82,-22.72
9,18.8562,-2831.27,-37.08,-80.93,-43.85
