burst_index,t_rel_s,sent_utc,commanded_rf_freq_hz,commanded_offset_hz,tx_power_dbm,ack
0,0.0,2026-06-11T07:46:09Z,868000000,0.0,10,CARRIER_DONE 0 868000000 10 300
1,2.0,2026-06-11T07:46:10Z,867999963,-37.082,10,CARRIER_DONE 1 867999963 10 300
2,4.0,2026-06-11T07:46:12Z,868000071,70.534,10,CARRIER_DONE 2 868000071 10 300
3,6.0,2026-06-11T07:46:14Z,867999903,-97.082,10,CARRIER_DONE 3 867999903 10 300
4,8.0,2026-06-11T07:46:16Z,868000114,114.127,10,CARRIER_DONE 4 868000114 10 300
5,10.0,2026-06-11T07:46:18Z,867999880,-120.0,10,CARRIER_DONE 5 867999880 10 300
6,12.0,2026-06-11T07:46:20Z,868000114,114.127,10,CARRIER_DONE 6 868000114 10 300
7,14.0,2026-06-11T07:46:22Z,867999903,-97.082,10,CARRIER_DONE 7 867999903 10 300
8,16.0,2026-06-11T07:46:24Z,868000071,70.534,10,CARRIER_DONE 8 868000071 10 300
9,18.0,2026-06-11T07:46:26Z,867999963,-37.082,10,CARRIER_DONE 9 867999963 10 300
